Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species,Quadrat Notes,Transect notes 
3,49,3/14/22,10:49 AM,0,1,rk,ta,,,"10 black urchin, Echinometra oblonga ~10cm","Rock shelf releif with turf <0.5cm, fronting aimakapaʻa fishpond. Rubble shelf less than 1m deep with sand beach inshore about 3m. "
3,49,3/14/22,10:49 AM,0,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,1,rk,ta,,,4 Echinometra oblonga,
3,49,3/14/22,10:49 AM,2,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,1,rk,ta,,,"Brown cucumber, Actinopyga mauritiana ~30cm",
3,49,3/14/22,10:49 AM,4,2,rk,ta,,,Bait fish jumping,
3,49,3/14/22,10:49 AM,4,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,16,rk,ta,,,,
3,51,3/14/22,10:35 AM,0,1,s,,,,,"North end of beach fronting Aimakapaʻa fish pond. Sandy with unusual cyanobacterial bloom like growth along the sand. We saw this soft brown cyanobacteria also at the seep at Kahaluʻu. <1m deep, 2m offshore of sandy beach. "
3,51,3/14/22,10:35 AM,0,2,s,,,,,
3,51,3/14/22,10:35 AM,0,3,s,,,,,
3,51,3/14/22,10:35 AM,0,4,rb,ma,cy,uc,cyanobacteria,
3,51,3/14/22,10:35 AM,0,5,rb,ma,cy,uc,,
3,51,3/14/22,10:35 AM,0,6,s,,,,,
3,51,3/14/22,10:35 AM,0,7,s,,,,,
3,51,3/14/22,10:35 AM,0,8,s,,,,,
3,51,3/14/22,10:35 AM,0,9,rb,ma,cy,uc,,
3,51,3/14/22,10:35 AM,0,10,s,,,,,
3,51,3/14/22,10:35 AM,0,11,s,,,,,
3,51,3/14/22,10:35 AM,0,12,s,,,,,
3,51,3/14/22,10:35 AM,0,13,s,,,,,
3,51,3/14/22,10:35 AM,0,14,rb,ma,cy,uc,,
3,51,3/14/22,10:35 AM,0,15,rb,ma,cy,uc,,
3,51,3/14/22,10:35 AM,0,16,s,,,,,
3,51,3/14/22,10:35 AM,2,1,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,2,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,3,s,no,,,,
3,51,3/14/22,10:35 AM,2,4,s,no,,,,
3,51,3/14/22,10:35 AM,2,5,rb,no,,,,
3,51,3/14/22,10:35 AM,2,6,s,no,,,,
3,51,3/14/22,10:35 AM,2,7,s,no,,,,
3,51,3/14/22,10:35 AM,2,8,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,9,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,10,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,11,s,no,,,,
3,51,3/14/22,10:35 AM,2,12,s,no,,,,
3,51,3/14/22,10:35 AM,2,13,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,14,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,15,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,2,16,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,1,s,no,,,,
3,51,3/14/22,10:35 AM,4,2,s,no,,,,
3,51,3/14/22,10:35 AM,4,3,s,no,,,,
3,51,3/14/22,10:35 AM,4,4,s,no,,,,
3,51,3/14/22,10:35 AM,4,5,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,6,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,7,s,no,,,,
3,51,3/14/22,10:35 AM,4,8,s,no,,,,
3,51,3/14/22,10:35 AM,4,9,s,no,,,,
3,51,3/14/22,10:35 AM,4,10,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,11,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,12,s,no,,,,
3,51,3/14/22,10:35 AM,4,13,s,no,,,,
3,51,3/14/22,10:35 AM,4,14,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,4,15,s,no,,,,
3,51,3/14/22,10:35 AM,4,16,s,no,,,,
3,51,3/14/22,10:35 AM,6,1,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,2,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,3,s,no,,,,
3,51,3/14/22,10:35 AM,6,4,s,no,,,,
3,51,3/14/22,10:35 AM,6,5,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,6,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,7,s,no,,,,
3,51,3/14/22,10:35 AM,6,8,s,no,,,,
3,51,3/14/22,10:35 AM,6,9,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,10,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,11,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,12,s,no,,,,
3,51,3/14/22,10:35 AM,6,13,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,14,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,15,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,6,16,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,8,1,s,no,,,,
3,51,3/14/22,10:35 AM,8,2,s,ma,,,,
3,51,3/14/22,10:35 AM,8,3,s,ma,,,,
3,51,3/14/22,10:35 AM,8,4,s,ma,,,,
3,51,3/14/22,10:35 AM,8,5,s,ma,,,,
3,51,3/14/22,10:35 AM,8,6,s,ma,,,,
3,51,3/14/22,10:35 AM,8,7,s,ma,,,,
3,51,3/14/22,10:35 AM,8,8,s,no,,,,
3,51,3/14/22,10:35 AM,8,9,s,ma,,,,
3,51,3/14/22,10:35 AM,8,10,s,ma,,,,
3,51,3/14/22,10:35 AM,8,11,s,ma,,,,
3,51,3/14/22,10:35 AM,8,12,s,ma,,,,
3,51,3/14/22,10:35 AM,8,13,s,ma,,,,
3,51,3/14/22,10:35 AM,8,14,s,ma,,,,
3,51,3/14/22,10:35 AM,8,15,s,ma,,,,
3,51,3/14/22,10:35 AM,8,16,s,no,,,,
3,51,3/14/22,10:35 AM,10,1,s,no,,,,
3,51,3/14/22,10:35 AM,10,2,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,10,3,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,10,4,s,ma,cy,uc,,
3,51,3/14/22,10:35 AM,10,5,s,no,,,,
3,51,3/14/22,10:35 AM,10,6,s,no,,,,
3,51,3/14/22,10:35 AM,10,7,s,no,,,,
3,51,3/14/22,10:35 AM,10,8,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,9,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,10,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,11,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,12,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,13,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,14,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,15,s,ma,cy,,,
3,51,3/14/22,10:35 AM,10,16,s,ma,cy,,,
3,33T,3/14/22,10:00 AM,0,1,rk,ta,,,14 Echinometra mathaei,"Offshore of rocky intertidal shelf, ~15m offshore, ~1m depth, surge and wave action. Urchin Echinometra mathaei shaped reef grooves with turf algae on top, coralline algae inside urchin grooves. About 20 e. mathaei per quadrat"
3,33T,3/14/22,10:00 AM,0,2,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,3,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,4,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,5,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,6,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,7,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,8,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,9,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,10,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,11,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,12,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,13,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,14,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,15,rk,ta,,,,
3,33T,3/14/22,10:00 AM,0,16,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,1,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,2,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,3,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,4,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,5,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,6,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,7,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,8,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,9,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,10,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,11,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,12,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,13,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,14,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,15,rk,ta,,,,
3,33T,3/14/22,10:00 AM,2,16,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,1,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,2,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,3,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,4,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,5,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,6,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,7,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,8,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,9,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,10,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,11,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,12,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,13,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,14,rk,ta,,,,
3,33T,3/14/22,10:00 AM,4,15,rk,ca,,,,
3,33T,3/14/22,10:00 AM,4,16,rk,ca,,,,
3,33T,3/14/22,10:00 AM,6,1,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,2,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,3,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,4,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,5,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,6,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,7,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,8,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,9,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,10,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,11,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,12,rk,ta,,,,
3,33T,3/14/22,10:00 AM,6,13,rk,ta,,,,
