Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species,Quadrat Notes,Transect notes 
3,49,3/14/22,10:49 AM,0,1,rk,ta,,,"10 black urchin, Echinometra oblonga ~10cm",
3,49,3/14/22,10:49 AM,0,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,0,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,1,rk,ta,,,4 Echinometra oblonga,
3,49,3/14/22,10:49 AM,2,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,2,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,1,rk,ta,,,"Brown cucumber, Actinopyga mauritiana ~30cm",
3,49,3/14/22,10:49 AM,4,2,rk,ta,,,Bait fish jumping,
3,49,3/14/22,10:49 AM,4,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,4,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,6,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,8,16,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,1,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,2,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,3,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,4,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,5,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,6,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,7,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,8,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,9,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,10,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,11,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,12,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,13,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,14,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,15,rk,ta,,,,
3,49,3/14/22,10:49 AM,10,16,rk,ta,,,,
3,51,3/14/22,10:35 AM,0,1,s,,,,,"North end of beach fronting Aimakapaʻa fish pond. Sandy with unusual cyanobacterial bloom like growth along the sand. We saw this soft brown cyanobacteria also at the seep at Kahaluʻu. <1m deep, 2m offshore of sandy beach. "
3,51,3/14/22,10:35 AM,0,2,s,,,,,
3,51,3/14/22,10:35 AM,0,3,s,,,,,
3,51,3/14/22,10:35 AM,0,4,rb,ma,cy,,cyanobacteria,
3,51,3/14/22,10:35 AM,0,5,rb,ma,cy,,,
