Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species
3,49,3/14/22,10:49 AM,0,1,rk,ta,,
3,49,3/14/22,10:49 AM,0,2,rk,ta,,
3,49,3/14/22,10:49 AM,0,3,rk,ta,,
3,49,3/14/22,10:49 AM,0,4,rk,ta,,
3,49,3/14/22,10:49 AM,0,5,rk,ta,,
3,49,3/14/22,10:49 AM,0,6,rk,ta,,
3,49,3/14/22,10:49 AM,0,7,rk,ta,,
3,49,3/14/22,10:49 AM,0,8,rk,ta,,
3,49,3/14/22,10:49 AM,0,9,rk,ta,,
3,49,3/14/22,10:49 AM,0,10,rk,ta,,
3,49,3/14/22,10:49 AM,0,11,rk,ta,,
3,49,3/14/22,10:49 AM,0,12,rk,ta,,
3,49,3/14/22,10:49 AM,0,13,rk,ta,,
3,49,3/14/22,10:49 AM,0,14,rk,ta,,
3,49,3/14/22,10:49 AM,0,15,rk,ta,,
3,49,3/14/22,10:49 AM,0,16,rk,ta,,
3,49,3/14/22,10:49 AM,2,1,rk,ta,,
3,49,3/14/22,10:49 AM,2,2,rk,ta,,
3,49,3/14/22,10:49 AM,2,3,rk,ta,,
3,49,3/14/22,10:49 AM,2,4,rk,ta,,
3,49,3/14/22,10:49 AM,2,5,rk,ta,,
3,49,3/14/22,10:49 AM,2,6,rk,ta,,
3,49,3/14/22,10:49 AM,2,7,rk,ta,,
3,49,3/14/22,10:49 AM,2,8,rk,ta,,
3,49,3/14/22,10:49 AM,2,9,rk,ta,,
3,49,3/14/22,10:49 AM,2,10,rk,ta,,
3,49,3/14/22,10:49 AM,2,11,rk,ta,,
3,49,3/14/22,10:49 AM,2,12,rk,ta,,
3,49,3/14/22,10:49 AM,2,13,rk,ta,,
3,49,3/14/22,10:49 AM,2,14,rk,ta,,
3,49,3/14/22,10:49 AM,2,15,rk,ta,,
3,49,3/14/22,10:49 AM,2,16,rk,ta,,
3,49,3/14/22,10:49 AM,4,1,rk,ta,,
3,49,3/14/22,10:49 AM,4,2,rk,ta,,
3,49,3/14/22,10:49 AM,4,3,rk,ta,,
3,49,3/14/22,10:49 AM,4,4,rk,ta,,
3,49,3/14/22,10:49 AM,4,5,rk,ta,,
3,49,3/14/22,10:49 AM,4,6,rk,ta,,
3,49,3/14/22,10:49 AM,4,7,rk,ta,,
3,49,3/14/22,10:49 AM,4,8,rk,ta,,
3,49,3/14/22,10:49 AM,4,9,rk,ta,,
3,49,3/14/22,10:49 AM,4,10,rk,ta,,
3,49,3/14/22,10:49 AM,4,11,rk,ta,,
3,49,3/14/22,10:49 AM,4,12,rk,ta,,
3,49,3/14/22,10:49 AM,4,13,rk,ta,,
3,49,3/14/22,10:49 AM,4,14,rk,ta,,
3,49,3/14/22,10:49 AM,4,15,rk,ta,,
3,49,3/14/22,10:49 AM,4,16,rk,ta,,
3,49,3/14/22,10:49 AM,6,1,rk,ta,,
3,49,3/14/22,10:49 AM,6,2,rk,ta,,
3,49,3/14/22,10:49 AM,6,3,rk,ta,,
3,49,3/14/22,10:49 AM,6,4,rk,ta,,
3,49,3/14/22,10:49 AM,6,5,rk,ta,,
3,49,3/14/22,10:49 AM,6,6,rk,ta,,
3,49,3/14/22,10:49 AM,6,7,rk,ta,,
3,49,3/14/22,10:49 AM,6,8,rk,ta,,
3,49,3/14/22,10:49 AM,6,9,rk,ta,,
3,49,3/14/22,10:49 AM,6,10,rk,ta,,
