Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species,Quadrat Notes,Transect notes 
8,68,3/19/22,8:05,0,1,bo,ta,,,,
8,68,3/19/22,8:05,0,2,bo,ta,,,,
8,68,3/19/22,8:05,0,3,bo,ta,,,,
8,68,3/19/22,8:05,0,4,bo,ta,,,,
8,68,3/19/22,8:05,0,5,bo,ta,,,,
8,68,3/19/22,8:05,0,6,bo,ta,,,,
8,68,3/19/22,8:05,0,7,bo,ta,,,,
8,68,3/19/22,8:05,0,8,bo,ta,,,,
8,68,3/19/22,8:05,0,9,bo,ca,,,,
8,68,3/19/22,8:05,0,10,bo,ta,,,,
8,68,3/19/22,8:05,0,11,bo,ta,,,,
8,68,3/19/22,8:05,0,12,bo,ta,,,,
8,68,3/19/22,8:05,0,13,bo,ta,,,,
8,68,3/19/22,8:05,0,14,bo,ta,,,,
8,68,3/19/22,8:05,0,15,bo,ta,,,,
8,68,3/19/22,8:05,0,16,bo,ta,,,,
8,68,3/19/22,8:05,2,1,rk,ta,,,,
8,68,3/19/22,8:05,2,2,rk,ta,,,,
8,68,3/19/22,8:05,2,3,bo,ca,,,,
8,68,3/19/22,8:05,2,4,bo,ca,,,,
8,68,3/19/22,8:05,2,5,rk,ta,,,,
8,68,3/19/22,8:05,2,6,rk,ta,,,,
8,68,3/19/22,8:05,2,7,rk,ta,,,,
8,68,3/19/22,8:05,2,8,rk,ta,,,,
8,68,3/19/22,8:05,2,9,rk,ta,,,,
8,68,3/19/22,8:05,2,10,rk,ta,,,,
8,68,3/19/22,8:05,2,11,rk,ta,,,,
8,68,3/19/22,8:05,2,12,rk,ta,,,,
8,68,3/19/22,8:05,2,13,rk,ta,,,,
8,68,3/19/22,8:05,2,14,rk,ta,,,,
8,68,3/19/22,8:05,2,15,rk,ta,,,,
8,68,3/19/22,8:05,2,16,rk,ta,,,,
8,68,3/19/22,8:05,4,1,bo,no,,,,
8,68,3/19/22,8:05,4,2,bo,ta,,,,
8,68,3/19/22,8:05,4,3,bo,ta,,,,
8,68,3/19/22,8:05,4,4,bo,ta,,,,
8,68,3/19/22,8:05,4,5,bo,ta,,,,
8,68,3/19/22,8:05,4,6,bo,ta,,,,
8,68,3/19/22,8:05,4,7,bo,nm,lo,me,"kauna 'oa, Loimia medusa",
8,68,3/19/22,8:05,4,8,bo,nm,lo,me,,
8,68,3/19/22,8:05,4,9,bo,ta,,,,
8,68,3/19/22,8:05,4,10,bo,ta,,,,
8,68,3/19/22,8:05,4,11,bo,ta,,,,
8,68,3/19/22,8:05,4,12,bo,ta,,,,
8,68,3/19/22,8:05,4,13,bo,ta,,,,
8,68,3/19/22,8:05,4,14,bo,ta,,,,
8,68,3/19/22,8:05,4,15,bo,ta,,,,
8,68,3/19/22,8:05,4,16,bo,ta,,,,
8,68,3/19/22,8:05,6,1,bo,ta,,,,
8,68,3/19/22,8:05,6,2,bo,ta,,,,
8,68,3/19/22,8:05,6,3,bo,ta,,,,
8,68,3/19/22,8:05,6,4,bo,nm,lo,me,,
8,68,3/19/22,8:05,6,5,bo,ta,,,,
8,68,3/19/22,8:05,6,6,bo,ta,,,,
8,68,3/19/22,8:05,6,7,bo,ta,,,,
8,68,3/19/22,8:05,6,8,bo,ta,,,,
8,68,3/19/22,8:05,6,9,bo,ta,,,,
8,68,3/19/22,8:05,6,10,bo,ta,,,,
8,68,3/19/22,8:05,6,11,bo,ta,,,,
8,68,3/19/22,8:05,6,12,bo,ta,,,,
8,68,3/19/22,8:05,6,13,bo,ta,,,,
8,68,3/19/22,8:05,6,14,bo,ta,,,,
8,68,3/19/22,8:05,6,15,bo,ta,,,,
8,68,3/19/22,8:05,6,16,bo,ta,,,,
8,68,3/19/22,8:05,8,1,rk,ta,,,,
8,68,3/19/22,8:05,8,2,rk,ca,,,,
8,68,3/19/22,8:05,8,3,rk,ca,,,,
8,68,3/19/22,8:05,8,4,rk,ta,,,,
8,68,3/19/22,8:05,8,5,rk,ta,,,,
8,68,3/19/22,8:05,8,6,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,7,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,8,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,9,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,10,rk,ta,,,,
8,68,3/19/22,8:05,8,11,rk,ta,,,,
8,68,3/19/22,8:05,8,12,rk,ta,,,,
8,68,3/19/22,8:05,8,13,rk,ta,,,,
8,68,3/19/22,8:05,8,14,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,15,rk,ma,ah,uc,<2cm,
8,68,3/19/22,8:05,8,16,rk,ta,,,,
8,68,3/19/22,8:05,10,1,bo,ta,,,,
8,68,3/19/22,8:05,10,2,bo,ta,,,,
8,68,3/19/22,8:05,10,3,bo,ta,,,,
8,68,3/19/22,8:05,10,4,bo,ta,,,,
8,68,3/19/22,8:05,10,5,bo,ta,,,,
8,68,3/19/22,8:05,10,6,bo,ta,,,,
8,68,3/19/22,8:05,10,7,bo,ta,,,,
8,68,3/19/22,8:05,10,8,bo,ta,,,,
8,68,3/19/22,8:05,10,9,bo,ta,,,,
8,68,3/19/22,8:05,10,10,bo,ta,,,,
8,68,3/19/22,8:05,10,11,bo,ta,,,,
8,68,3/19/22,8:05,10,12,bo,ta,,,,
8,68,3/19/22,8:05,10,13,bo,ta,,,,
8,68,3/19/22,8:05,10,14,bo,ta,,,,
8,68,3/19/22,8:05,10,15,bo,ta,,,,
8,68,3/19/22,8:05,10,16,bo,ta,,,,
8,10T,3/19/22,7:53,0,1,rk,ta,,,,
8,10T,3/19/22,7:53,0,2,rk,ta,,,,
8,10T,3/19/22,7:53,0,3,rk,ta,,,,
8,10T,3/19/22,7:53,0,4,rk,ta,,,,
8,10T,3/19/22,7:53,0,5,rk,ca,,,,
8,10T,3/19/22,7:53,0,6,rk,ta,,,,
8,10T,3/19/22,7:53,0,7,rk,ta,,,,
8,10T,3/19/22,7:53,0,8,rk,ca,,,,
8,10T,3/19/22,7:53,0,9,rk,ta,,,,
