Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species,Quadrat Notes,Transect notes 
9,11,#####,7:45,0,1,rk,ta,,,,"Pupu shells, ha'ukeuke, zoanthid coral"
9,11,#####,7:45,0,2,rk,ta,,,,
9,11,#####,7:45,0,3,rk,ta,,,,
9,11,#####,7:45,0,4,rk,ta,,,,
9,11,#####,7:45,0,5,rk,ta,,,,
9,11,#####,7:45,0,6,rk,ta,,,,
9,11,#####,7:45,0,7,rk,ta,,,,
9,11,#####,7:45,0,8,rk,ta,,,,
9,11,#####,7:45,0,9,rk,ta,,,,
9,11,#####,7:45,0,10,rk,ta,,,,
9,11,#####,7:45,0,11,rk,ta,,,,
9,11,#####,7:45,0,12,rk,ta,,,,
9,11,#####,7:45,0,13,rk,ta,,,,
9,11,#####,7:45,0,14,rk,ta,,,,
9,11,#####,7:45,0,15,rk,ta,,,,
9,11,#####,7:45,0,16,rk,ta,,,,
9,11,#####,7:45,2,1,rk,ta,,,,
9,11,#####,7:45,2,2,rk,ta,,,,
9,11,#####,7:45,2,3,rk,ta,,,,
9,11,#####,7:45,2,4,rb,ta,,,,
9,11,#####,7:45,2,5,rk,ta,,,,
9,11,#####,7:45,2,6,rk,ta,,,,
9,11,#####,7:45,2,7,rk,ta,,,,
9,11,#####,7:45,2,8,rk,ta,,,,
9,11,#####,7:45,2,9,rk,ta,,,,
9,11,#####,7:45,2,10,rk,ta,,,,
9,11,#####,7:45,2,11,rk,ta,,,,
9,11,#####,7:45,2,12,rk,ta,,,,
9,11,#####,7:45,2,13,rk,ta,,,,
9,11,#####,7:45,2,14,rb,no,,,,
9,11,#####,7:45,2,15,rk,ta,,,,
9,11,#####,7:45,2,16,rk,ta,,,,
9,11,#####,7:45,4,1,rk,ta,,,,
9,11,#####,7:45,4,2,rk,ta,,,,
9,11,#####,7:45,4,3,rk,ta,,,,
9,11,#####,7:45,4,4,rk,ta,,,,
9,11,#####,7:45,4,5,rk,ta,,,,
9,11,#####,7:45,4,6,rb,no,,,,
9,11,#####,7:45,4,7,rb,no,,,,
9,11,#####,7:45,4,8,rb,no,,,,
9,11,#####,7:45,4,9,rk,ta,,,,
9,11,#####,7:45,4,10,rb,no,,,,
9,11,#####,7:45,4,11,rb,no,,,,
9,11,#####,7:45,4,12,rb,no,,,,
9,11,#####,7:45,4,13,rb,no,,,,
9,11,#####,7:45,4,14,rk,ta,,,,
9,11,#####,7:45,4,15,rk,ta,,,,
9,11,#####,7:45,4,16,rk,ta,,,,
9,11,#####,7:45,6,1,rk,ta,,,,
9,11,#####,7:45,6,2,rk,ta,,,,
9,11,#####,7:45,6,3,rk,ta,,,,
9,11,#####,7:45,6,4,rk,ta,,,,
9,11,#####,7:45,6,5,rk,ta,,,,
9,11,#####,7:45,6,6,rk,ta,,,,
9,11,#####,7:45,6,7,rk,ta,,,,
9,11,#####,7:45,6,8,rk,ta,,,,
9,11,#####,7:45,6,9,rk,ta,,,,
9,11,#####,7:45,6,10,rb,ta,,,,
9,11,#####,7:45,6,11,rk,ta,,,,
9,11,#####,7:45,6,12,rk,ta,,,,
9,11,#####,7:45,6,13,rb,ta,,,,
9,11,#####,7:45,6,14,rk,ta,,,,
9,11,#####,7:45,6,15,rk,ta,,,,
9,11,#####,7:45,6,16,rk,ta,,,,
9,11,#####,7:45,8,1,rk,ta,,,,
9,11,#####,7:45,8,2,rk,ta,,,,
9,11,#####,7:45,8,3,rk,ta,,,,
9,11,#####,7:45,8,4,rk,ta,,,,
9,11,#####,7:45,8,5,rk,ta,,,,
